OBJECTID,X,Y,hospital_pk,collection_week,state,ccn,hospital_name,address,city,hospital_subtype,fips_code,is_metro_micro,total_beds_7_day_avg,a_adult_hospbeds_7d_avg,a_adult_hospinpbeds_7d_avg,inpatient_beds_used_7_day_avg,a_adult_hospinpbed_occ_7d_avg,adults_hospconfsusp_7d_avg,adults_hospconf_7d_avg,pediatric_hospconfsusp_7d_avg,pediatric_hospconf_7d_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,t_staff_adult_icubeds_7d_avg,icu_beds_used_7_day_avg,staff_adult_icubed_occ_7d_avg,staff_icuadultconfsusp_7d_avg,staff_icuadultconf_7_avg,patients_hospconf_flu_7d_avg,icu_patients_conf_flu_7d_avg,hospconf_flucovid_7d_avg,total_beds_7_day_sum,a_adult_hospbeds_7d_sum,a_adult_hospinpbeds_7d_sum,inpatient_beds_used_7_day_sum,a_adult_hospinpbed_occ_7d_sum,adults_hospconfsusp_7d_sum,adults_hospconf_7d_sum,pediatric_hospconfsusp_7d_sum,pediatric_hospconf_7d_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,t_staff_adult_icubeds_7d_sum,icu_beds_used_7_day_sum,staff_adult_icubed_occ_7d_sum,staff_icuadultconfsusp_7d_sum,staff_icuadultconf_7d_sum,patients_hospconf_flu_7d_sum,icu_patients_conf_flu_7d_sum,hospconf_flucovid_7d_sum,total_beds_7_day_coverage,a_adult_hospbeds_7d_cov,a_adult_hospinpbeds_7d_cov,inpatient_beds_used_7d_cov,a_adult_hospinpbed_occ_7d_cov,adults_hospconfsusp_7d_cov,adults_hospconf_7d_cov,pediatric_hospconfsusp_7d_cov,pediatric_hospconf_7d_cov,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,t_staff_adult_icubeds_7d_cov,icu_beds_used_7_day_coverage,staff_adult_icubed_occ_7d_cov,staff_icuadultconfsusp_7d_cov,staff_icuadultconf_7_cov,patients_hospconf_flu_7d_cov,icu_patients_conf_flu_7d_cov,hospconf_flucovid_7d_cov,prevadmit_adult_conf_7d_sum,prevadmit_1819_conf_7d_sum,prevadmit_2029_conf_7d_sum,prevadmit_3039_conf_7d_sum,prevadmit_4049_conf_7d_sum,prevadmit_5059_conf_7d_sum,prevadmit_6069_conf_7d_sum,prevadmit_7079_conf_7d_sum,prevadmit_80p_conf_7d_sum,prevadmit_conf_unk_7d_sum,prevadmit_pedi_conf_7d_sum,prevday_covidED_visits_7d_sum,prevadmit_adult_susp_7d_sum,prevadmit_1819_susp_7d_sum,prevadmit_2029_susp_7d_sum,prevadmit_3039_susp_7d_sum,prevadmit_4049_susp_7d_sum,prevadmit_5059_susp_7d_sum,prevadmit_6069_susp_7d_sum,prevadmit_7079_susp_7d_sum,prevadmit_80p_susp_7d_sum,prevadmit_susp_unk_7d_sum,prevadmit_pedi_susp_7d_sum,prevday_totED_visits_7d_sum,prevadmit_flu_conf_7d_sum,zip_code,last_updated
20,-85.6434856733451,34.1627072461784,010022,2022/02/04 00:00:00+00,AL,10022,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,Short Term,1019,False,53.1,53.1,46.1,19.3,19.3,-999999,-999999,0,0,46.1,0,0,0,0,0,0,0,0,0,372,372,267,135,135,22,22,0,0,323,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,0,0,0,0,0,6,-999999,-999999,0,0,28,6,0,0,0,-999999,-999999,0,0,-999999,0,0,134,0,35960,2022/02/14 20:08:00+00
21,-85.8246808147978,33.6677231268739,010038,2022/02/04 00:00:00+00,AL,10038,STRINGFELLOW CAMPUS OF NORTHEAST RMC,301 EAST 18TH ST,ANNISTON,Short Term,1015,True,45,45,33,32.6,32.6,6.9,6.9,0,0,33,6,6,5.7,5.7,0,-999999,0,0,0,315,315,455,228,228,48,48,0,0,231,42,42,40,40,0,16,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,50,0,0,0,5,13,4,17,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,251,0,36201,2022/02/14 20:08:00+00
22,-86.6234826506338,32.8768614083884,010173,2022/02/04 00:00:00+00,AL,10173,ST VINCENT'S CHILTON,2030 LAY DAM ROAD,CLANTON,Short Term,1021,True,48,48,38,18.7,18.7,6.9,6.9,0,0,38,6,6,-999999,-999999,-999999,-999999,0,0,0,336,336,252,131,131,48,48,0,0,266,42,42,17,17,17,17,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,0,0,0,-999999,-999999,-999999,5,-999999,0,0,69,0,0,0,0,0,0,0,0,0,0,0,316,0,35045,2022/02/14 20:08:00+00
23,-88.2128323933633,32.1003682175612,011304,2022/02/04 00:00:00+00,AL,11304,CHOCTAW GENERAL HOSPITAL,401 VANITY FAIR LANE PO BOX 618,BUTLER,Critical Access Hospitals,1023,False,35,35,28,7.6,7.6,-999999,-999999,0,0,28,0,0,0,0,0,0,0,0,0,245,245,168,53,53,12,8,0,0,196,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,-999999,0,0,0,0,0,0,0,9,-999999,0,0,0,0,0,0,-999999,0,0,0,112,0,36904,2022/02/14 20:08:00+00
24,-85.8234187433099,33.6570311955948,012011,2022/02/04 00:00:00+00,AL,12011,NOLAND HOSPITAL ANNISTON II LLC,400 EAST 10TH STREET 4TH FLOOR,ANNISTON,Long Term,1015,True,17.6,17.6,17.6,16.4,16.4,-999999,-999999,0,0,17.6,0,0,0,0,0,0,0,0,0,123,123,175,115,115,7,7,0,0,123,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36202,2022/02/14 20:08:00+00
25,-87.7405842103443,31.8756845851419,010174,2022/02/04 00:00:00+00,AL,10174,THOMASVILLE REGIONAL MEDICAL CENTER,300 MED PARK DRIVE,THOMASVILLE,Short Term,1025,False,43.6,43.6,35.6,8.4,8.4,-999999,-999999,0,0,35.6,0,0,0,0,0,0,0,0,0,305,305,207,59,59,17,17,0,0,249,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,-999999,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,110,0,36784,2022/02/14 20:08:00+00
26,-87.8944702390092,31.5311662021705,010128,2022/02/04 00:00:00+00,AL,10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,Short Term,1025,False,25,25,20,11.1,11.1,-999999,-999999,0,0,20,0,0,0,0,0,0,0,0,0,175,175,186,78,78,12,16,0,0,140,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,0,0,0,0,0,-999999,-999999,-999999,0,0,31,0,0,0,0,0,0,0,0,0,0,0,93,0,36545,2022/02/14 20:08:00+00
27,-85.8555976887492,31.3185466133611,010049,2022/02/04 00:00:00+00,AL,10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,Short Term,1031,True,72,72,60,56.4,56.4,18.9,18.9,-999999,-999999,60,9,9,8.4,8.4,4.4,4.4,0,0,0,504,504,658,395,395,132,132,-999999,-999999,420,63,63,59,59,31,31,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,0,-999999,-999999,0,-999999,5,-999999,-999999,0,0,26,0,0,0,0,0,0,0,0,0,0,0,591,0,36330,2022/02/14 20:08:00+00
28,-85.8235537550373,33.2767187429169,010073,2022/02/04 00:00:00+00,AL,10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,Short Term,1027,False,45,44,39,17.2,17.2,-999999,-999999,0,0,40,4,4,-999999,-999999,-999999,-999999,0,0,0,270,264,217,103,103,11,10,0,0,240,24,24,17,17,12,8,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,26,4,0,0,0,0,-999999,-999999,0,0,0,0,100,0,36251,2022/02/14 20:08:00+00
29,-87.7770534887882,31.6946534579277,010091,2022/02/04 00:00:00+00,AL,10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,Short Term,1025,False,48,45,36,11,10.4,-999999,-999999,0,0,39,0,0,0,0,0,0,0,0,0,336,315,180,77,73,9,9,0,0,273,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,100,0,36451,2022/02/14 20:08:00+00
30,-87.6989595442678,34.7464651591931,010019,2022/02/04 00:00:00+00,AL,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,Short Term,1033,True,206,190,166,119.9,115.1,34.9,34.9,-999999,-999999,182,18,18,15.6,15.6,12.4,12.3,-999999,0,0,1442,1330,1113,839,806,244,244,17,8,1274,126,126,109,109,87,86,6,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,16,0,-999999,0,0,5,-999999,-999999,5,0,-999999,152,0,0,0,0,0,0,0,0,0,0,-999999,566,0,35660,2022/02/14 20:08:00+00
31,-87.6761393471044,34.7449875365691,010157,2022/02/04 00:00:00+00,AL,10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,Short Term,1033,True,121,121,112,64.3,64.3,5.7,5.7,0,0,112,0,0,0,0,0,0,0,0,0,847,847,826,450,450,40,40,0,0,784,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,0,0,0,-999999,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,174,0,35661,2022/02/14 20:08:00+00
33,-86.2654977320997,31.6933499936449,010008,2022/02/04 00:00:00+00,AL,10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,Short Term,1041,False,37,37,32,21,21,4.6,4.6,0,0,32,0,0,0,0,0,0,0,0,0,259,259,224,147,147,32,32,0,0,224,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,0,0,0,0,-999999,-999999,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,111,0,36049,2022/02/14 20:08:00+00
34,-86.2553978740495,31.292158538146,010007,2022/02/04 00:00:00+00,AL,10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,Short Term,1039,False,40,40,33,23.1,23.1,6.1,6.1,0,0,33,5,5,4,4,-999999,-999999,0,0,0,280,280,238,162,162,43,43,0,0,231,35,35,28,28,8,11,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,-999999,0,0,0,-999999,0,-999999,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,198,0,36467,2022/02/14 20:08:00+00
35,-86.9412665564605,31.4310657707068,010148,2022/02/04 00:00:00+00,AL,10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,Short Term,1035,False,34,34,29,17.6,17.6,6.9,5.7,0,0,29,0,0,0,0,0,0,0,0,0,238,238,210,123,123,48,40,0,0,203,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,0,0,0,-999999,-999999,-999999,0,0,0,0,28,5,0,0,0,-999999,-999999,-999999,0,-999999,0,0,147,0,36401,2022/02/14 20:08:00+00
36,-85.6309422318037,31.4518200054075,010021,2022/02/04 00:00:00+00,AL,10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,Short Term,1045,True,60,60,48,33.9,33.9,11,11,0,0,48,5,5,4.1,4.1,-999999,-999999,0,0,0,420,420,399,237,237,77,77,0,0,336,35,35,29,29,14,14,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,11,0,0,0,-999999,-999999,5,-999999,-999999,0,0,69,0,0,0,0,0,0,0,0,0,0,0,269,0,36360,2022/02/14 20:08:00+00
37,-86.494822648367,31.2979298551592,010036,2022/02/04 00:00:00+00,AL,10036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,Short Term,1039,False,59,56,46,26.7,26.7,-999999,-999999,0,0,49,8,8,7.1,7.1,-999999,-999999,0,0,0,413,392,413,187,187,12,12,0,0,343,56,56,50,50,6,6,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,0,0,0,-999999,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,298,0,36420,2022/02/14 20:08:00+00
38,-86.80418277355,34.1986292435659,010035,2022/02/04 00:00:00+00,AL,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,Short Term,1043,True,185,181,157,147.1,147.1,68.4,68.4,0,0,161,11,11,11,11,7,7,0,0,0,1295,1267,1099,1030,1030,479,479,0,0,1127,77,77,77,77,49,49,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,28,0,0,0,-999999,-999999,6,14,5,0,0,358,0,0,0,0,0,0,0,0,0,0,0,772,0,35058,2022/02/14 20:08:00+00
39,-85.7572435986983,34.440594867077,010012,2022/02/04 00:00:00+00,AL,10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,Short Term,1049,True,82.1,73.1,56.1,52.1,47.9,16.4,16.4,0,0,65.1,8,8,7.9,7.9,6.1,6.1,-999999,0,-999999,575,512,432,365,335,115,115,0,0,456,56,56,55,55,43,43,5,0,-999999,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,-999999,0,0,0,-999999,-999999,5,-999999,0,0,89,10,0,0,0,-999999,-999999,6,0,0,0,-999999,315,0,35968,2022/02/14 20:08:00+00
40,-85.9120670733564,32.5352594035373,010034,2022/02/04 00:00:00+00,AL,10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,Short Term,1051,True,50,50,45,10.1,10.1,-999999,-999999,0,0,45,0,0,0,0,0,0,0,0,0,350,350,350,71,71,4,9,0,0,315,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,0,0,0,-999999,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,109,0,36078,2022/02/14 20:08:00+00
41,-86.1870425316442,32.5523819972539,010097,2022/02/04 00:00:00+00,AL,10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,Short Term,1051,True,37,37,31,5.9,5.9,-999999,-999999,0,0,31,0,0,0,0,0,0,0,0,0,259,259,217,41,41,11,7,0,0,217,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,0,0,0,-999999,0,0,0,11,-999999,0,0,0,0,-999999,-999999,0,0,0,0,142,0,36092,2022/02/14 20:08:00+00
42,-85.967824848607,34.0093366804233,010040,2022/02/04 00:00:00+00,AL,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,Short Term,1055,True,198.7,196.7,169.7,152.6,152.6,48.4,47.6,0,0,171.7,32,32,31.7,31.7,18.1,17.9,-999999,-999999,-999999,1391,1377,1176,1068,1068,339,333,0,0,1202,224,224,222,222,127,125,12,12,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,32,0,0,0,-999999,0,9,12,8,0,0,158,6,0,0,0,-999999,0,-999999,-999999,-999999,0,0,477,0,35903,2022/02/14 20:08:00+00
43,-87.0724895549923,31.1271649221609,010099,2022/02/04 00:00:00+00,AL,10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,Short Term,1053,True,65,59,50,18.4,18.4,4.1,4.1,0,0,56,10,8,-999999,-999999,-999999,-999999,-999999,0,0,455,413,252,129,129,29,29,0,0,392,70,56,20,20,12,12,-999999,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,0,0,0,-999999,-999999,0,0,28,0,0,0,0,0,0,0,0,0,0,0,169,0,36426,2022/02/14 20:08:00+00
